No,Code or Company's Name,Name,Listing Date,Share,Listing Board
589,SATU,Kota Satu Properti Tbk.,05 Nov 2018,"1,375,000,000",PENGEMBANGAN
590,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,"2,148,904,505",Pengembangan
591,SCCO,Supreme Cable Manufacturing &,20 Jul 1982,"205,583,400",UTAMA
592,SCMA,Surya Citra Media Tbk.,16 Jul 2002,"14,779,091,301",Utama
593,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,"2,500,000,000",Pengembangan
594,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,"3,600,000",PENGEMBANGAN
595,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,"1,135,225,000",PENGEMBANGAN
596,SDPC,Millennium Pharmacon Internati,07 Mei 1990,"1,274,000,000",UTAMA
597,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,"6,515,116,991",Utama
598,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,"1,359,934,021",PENGEMBANGAN
599,SGER,Sumber Global Energy Tbk.,10 Ags 2020,"1,671,917,786",Pengembangan
600,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,"1,890,000,000",Utama
601,SHID,Hotel Sahid Jaya International,08 Mei 1990,"1,119,326,168",PENGEMBANGAN
602,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,"2,719,790,000",PENGEMBANGAN
603,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,"30,000,000,000",Utama
604,SILO,Siloam International Hospitals,12 Sep 2013,"1,625,765,625",Utama
605,SIMA,Siwani Makmur Tbk,03 Jun 1994,"442,589,871",PENGEMBANGAN
606,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,"15,816,310,000",Utama
607,SINI,Singaraja Putra Tbk.,08 Nov 2019,"468,169,450",Pengembangan
608,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,"1,339,102,579",Pengembangan
609,SKBM,Sekar Bumi Tbk.,28 Sep 2012,"1,730,103,217",Pengembangan
610,SKLT,Sekar Laut Tbk.,08 Sep 1993,"690,740,500",PENGEMBANGAN
611,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,"1,500,000,000",PENGEMBANGAN
612,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,"585,000,000",PENGEMBANGAN
613,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,"2,000,000,000",PENGEMBANGAN
614,SMAR,Smart Tbk.,20 Nov 1992,"2,872,193,366",PENGEMBANGAN
615,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,"9,932,534,336",Utama
616,SMCB,Solusi Bangun Indonesia Tbk.,10 Ags 1977,"9,019,381,973",UTAMA
617,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,"4,772,138,237",PENGEMBANGAN
618,SMDR,Samudera Indonesia Tbk.,05 Jul 1999,"3,275,120,000",Utama
619,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,"5,931,520,000",UTAMA
620,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,"3,400,000,045",UTAMA
621,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,"6,367,664,717",Utama
622,SMMT,Golden Eagle Energy Tbk.,01 Des 1997,"3,150,000,000",PENGEMBANGAN
623,SMRA,Summarecon Agung Tbk.,07 Mei 1990,"16,508,568,358",UTAMA
624,SMRU,SMR Utama Tbk.,10 Okt 2011,"12,499,385,782",PENGEMBANGAN
625,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,"5,758,675,440",Utama
626,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,"450,000,000",Pengembangan
627,SOCI,Soechi Lines Tbk.,03 Des 2014,"7,059,000,000",UTAMA
628,SOFA,Boston Furniture Industries Tb,07 Jul 2020,"1,653,574,499",AKSELERASI
629,SOHO,Soho Global Health Tbk.,08 Sep 2020,"1,269,168,239",UTAMA
630,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,"331,200,000",UTAMA
631,SOSS,Shield On Service Tbk.,06 Nov 2018,"657,596,705",PENGEMBANGAN
632,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,"1,000,000,075",Pengembangan
633,SPMA,Suparma Tbk.,16 Nov 1994,"2,791,233,198",UTAMA
634,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,"2,700,000,000",Pengembangan
635,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,"15,537,591,429",Pengembangan
636,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,"12,000,705,445",Utama
637,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,"20,452,176,844",Utama
638,SRSN,Indo Acidatama Tbk,11 Jan 1993,"6,020,000,000",Utama
639,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,"13,564,835,000",Utama
640,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,"4,705,249,440",Utama
641,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,"9,525,000,000",UTAMA
642,SSTM,Sunson Textile Manufacture Tbk,20 Ags 1997,"1,170,909,181",PENGEMBANGAN
643,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,"4,800,000,602",UTAMA
644,STTP,Siantar Top Tbk.,16 Des 1996,"1,310,000,000",PENGEMBANGAN
645,SUGI,Sugih Energy Tbk.,19 Jun 2002,"24,811,541,414",PENGEMBANGAN
646,SULI,SLJ Global Tbk.,21 Mar 1994,"3,986,916,802",UTAMA
647,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,"1,137,579,698",Pengembangan
648,SURE,Super Energy Tbk.,05 Okt 2018,"1,497,576,771",PENGEMBANGAN
649,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,"3,019,200,000",PENGEMBANGAN
650,TALF,Tunas Alfin Tbk.,17 Jan 2014,"1,353,435,000",PENGEMBANGAN
651,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,"1,000,000,005",PENGEMBANGAN
652,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,"37,500,000,000",Pengembangan
653,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,"19,852,540,000",Utama
654,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,"10,069,645,750",UTAMA
655,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,"10,223,647,156",UTAMA
656,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,"22,656,999,445",Utama
657,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,"5,342,098,939",Utama
658,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,"367,340,000",PENGEMBANGAN
659,TCID,Mandom Indonesia Tbk.,30 Sep 1993,"201,066,667",Utama
660,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,"5,000,000,000",Pengembangan
661,TDPM,Tridomain Performance Material,09 Apr 2018,"10,485,050,500",Utama
662,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,"1,285,000,000",PENGEMBANGAN
663,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,"1,256,300,000",PENGEMBANGAN
664,TELE,Tiphone Mobile Indonesia Tbk.,12 Jan 2012,"7,302,194,889",UTAMA
665,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,"1,666,666,500",Pengembangan
666,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,"4,823,076,400",PENGEMBANGAN
667,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,"918,492,750",Pengembangan
668,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,"2,750,000,000",UTAMA
669,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,"1,079,700,000",Pengembangan
670,TINS,Timah Tbk.,19 Okt 1995,"7,447,753,454",Utama
671,TIRA,Tira Austenite Tbk,27 Jul 1993,"588,000,000",Pengembangan
672,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,"1,011,774,750",UTAMA
673,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,"3,113,223,570",UTAMA
674,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,"99,062,216,600",UTAMA
675,TMAS,Temas Tbk.,09 Jul 2003,"5,705,150,000",UTAMA
676,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,"1,058,333,250",PENGEMBANGAN
677,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,"421,640,000",PENGEMBANGAN
678,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,"8,049,964,000",Utama
679,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,"33,330,000,000",UTAMA
680,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,"3,410,000,000",UTAMA
681,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,"10,320,000,000",Pengembangan
682,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,"51,014,625,000",Utama
683,TOYS,Sunindo Adipersada Tbk.,06 Ags 2020,"1,435,000,026",PENGEMBANGAN
684,TPIA,Chandra Asri Petrochemical Tbk,26 Mei 2008,"17,833,520,260",Pengembangan
685,TPMA,Trans Power Marine Tbk.,20 Feb 2013,"2,633,300,000",PENGEMBANGAN
686,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,"49,643,627,934",Utama
687,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,"1,200,000,000",Pengembangan
688,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,"7,109,300,000",UTAMA
689,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,"4,373,554,410",Pengembangan
690,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,"26,007,494,645",UTAMA
691,TRIS,Trisula International Tbk.,28 Jun 2012,"3,141,443,806",PENGEMBANGAN
692,TRJA,Transkon Jaya Tbk.,27 Ags 2020,"1,510,200,000",Pengembangan
693,TRST,Trias Sentosa Tbk.,02 Jul 1990,"2,808,000,000",UTAMA
694,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,"7,569,850,000",Pengembangan
695,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,"435,000,000",PENGEMBANGAN
696,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,"800,000,000",PENGEMBANGAN
697,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,"4,500,000,000",Utama
698,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,"1,777,777,800",Pengembangan
699,TURI,Tunas Ridean Tbk.,16 Mei 1995,"5,580,000,000",Utama
700,UANG,Pakuan Tbk.,06 Jul 2020,"1,210,000,000",PENGEMBANGAN
701,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,"4,156,572,300",UTAMA
702,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,"2,287,500,000",UTAMA
703,ULTJ,Ultra Jaya Milk Industry & Tra,02 Jul 1990,"11,553,528,000",Utama
704,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,"383,331,363",UTAMA
705,UNIQ,Ulima Nitra Tbk.,08 Mar 2021,"3,138,983,000",UTAMA
706,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,"75,422,200",PENGEMBANGAN
707,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,"2,500,162,344",UTAMA
708,UNTR,United Tractors Tbk.,19 Sep 1989,"3,730,135,136",UTAMA
709,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,"38,150,000,000",UTAMA
710,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,"3,232,122,589",Pengembangan
711,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,"2,000,000,000",Akselerasi
712,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,"6,708,000,000",UTAMA
713,VICO,Victoria Investama Tbk.,08 Jul 2013,"9,150,094,680",UTAMA
714,VINS,Victoria Insurance Tbk.,28 Sep 2015,"1,460,573,616",PENGEMBANGAN
715,VIVA,Visi Media Asia Tbk.,21 Nov 2011,"16,464,270,400",UTAMA
716,VOKS,Voksel Electric Tbk.,20 Des 1990,"4,155,602,595",UTAMA
717,VRNA,Verena Multi Finance Tbk.,25 Jun 2008,"5,687,353,997",PENGEMBANGAN
718,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,"1,240,923,111",PENGEMBANGAN
719,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,"9,572,000,000",UTAMA
720,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,"886,411,265",Utama
721,WICO,Wicaksana Overseas Internation,08 Ags 1994,"1,268,950,977",Pengembangan
722,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,"1,947,077,902",Pengembangan
723,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,"2,099,873,760",UTAMA
724,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,"8,969,951,372",Utama
725,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,"4,333,137,057",Utama
726,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,"12,941,176,500",Utama
727,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,"3,481,481,480",Utama
728,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,"6,362,500,000",Utama
729,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,"2,475,720,000",PENGEMBANGAN
730,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,"26,361,157,534",Utama
731,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,"13,573,951,000",Utama
732,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,"8,715,466,600",Utama
733,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,"380,043,598",Pengembangan
734,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,"668,000,089",Pengembangan
735,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,"1,785,000,000",PENGEMBANGAN
736,ZBRA,Zebra Nusantara Tbk,01 Ags 1991,"856,133,009",Pengembangan
737,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,"25,250,000,000",Pengembangan
738,ZONE,Mega Perintis Tbk.,12 Des 2018,"870,171,478",PENGEMBANGAN
739,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,"1,333,333,300",Pengembangan
