No,Code or Company's Name,Name,Listing Date,Share,Listing Board
140,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,"1,374,912,000",Pengembangan
141,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,"46,277,496,376",Pengembangan
142,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",UTAMA
143,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",PENGEMBANGAN
144,BTPN,Bank BTPN Tbk.,12 Mar 2008,"8,066,054,461",Utama
145,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,"7,626,663,000",Utama
146,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,"4,498,997,362",UTAMA
147,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Pengembangan
148,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,"12,932,237,810",UTAMA
149,BUMI,Bumi Resources Tbk.,30 Jul 1990,"74,274,746,007",Pengembangan
150,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"6,811,269,200",PENGEMBANGAN
151,BVIC,Bank Victoria International Tb,30 Jun 1999,"9,442,771,448",Utama
152,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,"31,525,291,000",UTAMA
153,BYAN,Bayan Resources Tbk.,12 Ags 2008,"3,333,333,500",Utama
154,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,"1,203,300,219",PENGEMBANGAN
155,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,"5,885,000,000",Utama
156,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,"833,440,000",Pengembangan
157,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,"33,250,000,000",PENGEMBANGAN
158,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,"15,000,000,000",UTAMA
159,CASA,Capital Financial Indonesia Tb,19 Jul 2016,"54,476,269,803",Pengembangan
160,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,"1,431,125,517",AKSELERASI
161,CASS,Cardig Aero Services Tbk.,05 Des 2011,"2,086,950,000",PENGEMBANGAN
162,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,"1,875,000,000",PENGEMBANGAN
163,CCSI,Communication Cable Systems In,18 Jun 2019,"1,000,000,000",PENGEMBANGAN
164,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",UTAMA
165,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,"31,183,464,900",PENGEMBANGAN
166,CFIN,Clipan Finance Indonesia Tbk.,27 Ags 1990,"3,984,520,457",Utama
167,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",PENGEMBANGAN
168,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",PENGEMBANGAN
169,CITY,Natura City Developments Tbk.,28 Sep 2018,"5,404,710,955",UTAMA
170,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",PENGEMBANGAN
171,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,"12,000,000,000",Utama
172,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",PENGEMBANGAN
173,CMNP,Citra Marga Nusaphala Persada,10 Jan 1995,"5,431,525,753",UTAMA
174,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,"10,685,124,441",Pengembangan
175,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,"8,956,361,206",Utama
176,CNTX,Century Textile Industry Tbk.,22 Mei 1979,"70,000,000",Pengembangan
177,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,"560,285,571",Pengembangan
178,COWL,Cowell Development Tbk.,19 Des 2007,"4,871,214,021",PENGEMBANGAN
179,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,"16,398,000,000",UTAMA
180,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,"2,433,375,005",PENGEMBANGAN
181,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",UTAMA
182,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,"4,458,352,920",Utama
183,CSIS,Cahayasakti Investindo Sukses,10 Mei 2017,"1,307,000,000",Pengembangan
184,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,"816,061,500",PENGEMBANGAN
185,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,"2,050,000,000",Utama
186,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",UTAMA
187,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,560,303,397",UTAMA
188,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",PENGEMBANGAN
189,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,"7,177,000,408",Pengembangan
190,DART,Duta Anggada Realty Tbk.,08 Mei 1990,"3,141,390,962",UTAMA
191,DAYA,Duta Intidaya Tbk.,28 Jun 2016,"2,420,547,025",Pengembangan
192,DCII,DCI Indonesia Tbk.,06 Jan 2021,"2,383,745,900",Pengembangan
193,DEAL,Dewata Freightinternational Tb,11 Nov 2018,"1,132,748,259",Pengembangan
194,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",PENGEMBANGAN
195,DEWA,Darma Henwa Tbk,26 Sep 2007,"21,853,733,792",Utama
196,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Pengembangan
